unit	c_sources	status	crate	bench_ratio	notes
types_error	-	ported	types_error	cold	substrate: PgError/PgResult; no C unit
types_core	-	ported	types_core	cold	substrate: Oid + primitives; no C unit
mcx	src/backend/utils/mmgr/mcxt.c,src/backend/utils/mmgr/aset.c,src/backend/utils/mmgr/bump.c	ported	mcx	0.68x-instr/1.03x-ns	substrate: arenas; PASS dual gate on Graviton4: aset alloc 0.68x-instr/1.03x-ns (8B; larger C ns rows are glibc artifacts), bump alloc 0.56x/1.00x, reset 0.69x/0.91x (bump.c-shaped BumpArena, block-granular accounting, inline(always) allocate); vec_append 1.00x-instr/1.00x-ns on Graviton (1.42x-ns was the harness wrap if-converted onto the len chain, fixed in rig; csel A/B journaled); verdicts reconfirmed vs clang-16 -O3 -mcpu=neoverse-v2 C reference + rig -Ctarget-cpu=neoverse-v2 (job pgrust-fast-microbench-1783016945, per docs/graviton.md clang<16 baseline is void): all instr ratios identical, vec_append 1.00x-instr/1.01x-ns vs clang-16's 17-instr loop, no verdict changes; docs/optimizations/m0-substrate-parity.md; WATCH: global ACCT_POOL UnsafeCell freelist data-races when contexts created/dropped on concurrent threads in non-test builds (found by scan_fgram tests) — fix before threads-as-backends (M5) or any parallel test reliance; 2026-07-02 post-reset fast path (job -1783044468): BumpArena::reset re-opens the keeper window (was null-window -> two #[cold] first-alloc claims ~152 instr) + reset hot-arm split (#[cold] reset_noncore/free_extra_blocks), reset 78->~46 instr; CONTRACT: keeper stays charged across bump reset (used()==keeper size, C mem_allocated shape); controls flat (aset 0.68x, bump 0.63x, reset 0.67x); WATCH vec_append_32 1.06x-instr tuned (+1 instr inline-budget drift); 2026-07-03 fullscan-close: C isReset fast-exit on MemoryContext::reset (Cell flag cleared in allocate/grow/register_*, set after reset work; panicking-destructor retry test-pinned) — fullscan gate profile showed 102 instr/row in per-row ResetExprContext vs C 28.6; lever = -77 instr/row on the composed count(*) (job -1783065248), fullscan lane 1.353->1.130 instr / wall 0.933; branch fullscan-close, unmerged
datum	src/backend/access/common/heaptuple.c(partial)	ported	datum	1.00x-instr/1.00x-ns	substrate: 8B Datum; codecs 1.00x (asm-identical); varlena read via borrowed VarlenaRef lane 1.00x (7=7 instr, matches C VARSIZE/VARDATA); reconfirmed vs clang-16 -O3 -mcpu=neoverse-v2 C reference (job pgrust-fast-microbench-1783016945): every row 1.00x both metrics except the proven datum_i32 harness regalloc ns artifact (unchanged, 4=4 instr), no verdict changes; docs/optimizations/m0-substrate-parity.md
seam-core	-	ported	seam_core	cold	substrate; fabled:seam-core; m1-spine; seam registry substrate; cold: init-time registry, per-call = one relaxed load + indirect call, placement-banned from per-row paths; 6/6 tests, density 5.0%
types-tuple	-	benched	types_tuple	0.80-1.00x-instr/0.73-1.10x-ns(graviton4)	substrate; fabled:types-tuple; m1-spine; on-image HeapTuple/MinimalTuple/ItemPointer + deform read lane; Graviton4 dual gate (clang-16 -mcpu=neoverse-v2): DUAL PASS all lanes after deform-frame restructure (call-free attribute walk: cstring arm exits to cold continuation, narrow tuples delegate at entry -> zero callee-saved GPR pairs in prologue, was 6; C carries 6) — deform 0.80-0.87x instr / 0.73-1.02x ns, slope 0.92x, fastgetattr-hit 0.81x/1.10x, nocache-miss 0.98x/1.10x, tidcmp/hdrbits 1.00x; bucket-1 half of asm-experiment deform4 attribution only, bucket-2 = monomorphized per-descriptor deformer (separate lever, not taken); 16/16 tests (2 new cstring-walk), Miri SB+TB clean, density 4.3%; docs/benchmarks/types_tuple.md; docs/optimizations/types_tuple-parity.md
types-fmgr	-	benched	types_fmgr	0.43-1.12x-instr/0.38-0.95x-ns	substrate; fabled:types-fmgr; m1-spine; FunctionCallInfoBaseData/FmgrInfo types; OFFICIAL Graviton (job pgrust-fast-microbench-1783021028, clang-16 -mcpu=neoverse-v2): time PASS all lanes (0.38-0.95x), instr PASS getarg 0.89x + mono kernel 0.43x, indirect invoke 1.11x/1.12x instr JUSTIFIED (arity check +2, PgResult Ok tag +1, fallible frame save +3 vs C diverging ereport); docs/benchmarks/types_fmgr.md; 18/18 tests, Miri clean, density 5.0%; 2026-07-02 fc result-mcx convention landed (notes/fc-result-convention.md): fcinfo carries a caller-armed result context (C CurrentMemoryContext), varlena/cstring results leak in place or byref_result aligned-copy; function_callN_coll_in armed call helpers; +7 tests Miri-clean, density 5.0%; SRF-minimal 2026-07-02: +rsinfo.rs (ReturnSetInfo minimal repr(C) tag-first, ExprDoneCond, SetFunctionReturnMode, SFRM_* bits, fcinfo.rsinfo_mut tag-checked cast; tag value parity-asserted in funcapi)
types-scan	-	ported	types_scan	cold	substrate; fabled:types-scan; m1-spine; ScanKey/ScanDirection vocabulary, no per-tuple code (hot loops live in nbtree/heapam consumers — bench _bt_compare there); sk_func is resolved-once FmgrInfo, sk_subkeys workaround deleted (8B Datum carries the pointer word); 4 tests, density 3.1%
types-stringinfo	-	benched	stringinfo	0.52x-instr/0.67x-ns	substrate; fabled:types-stringinfo; m1-spine; StringInfo; PASS dual gate on Graviton4 (clang-16 -mcpu=neoverse-v2): append_bytes 0.52x/0.67x, append_byte 0.60x/0.27x, growth 0.34x/0.95x vs matched-allocator C (glibc in-place realloc substrate row 7.6x ns flagged as mcx aset item); 13 tests, Miri clean, density 3.4%; docs/benchmarks/stringinfo.md; docs/optimizations/stringinfo-parity.md
types-resowner	-	ported	types_resowner	cold	fabled:types-resowner; m1-spine; ResourceOwner as Copy slot+generation handle per docs/no-drop.md; 8B size assert; 3 tests, density 4.0%; ported by concurrent session, independently reviewed; cold: pure resowner.h vocabulary/constants — hot Remember/Forget lanes live in the future resowner owner crate; 3/3 tests, density 4.0%
